Time	LatencyAverage
132000.0	19086.5429
141600.0	19086.5429
151200.0	19086.5429
160800.0	19086.5429
170400.0	19086.5429
180000.0	19086.5429
189600.0	19086.5429
199200.0	19086.5429
208800.0	19086.5429
218400.0	19086.5429
228000.0	19086.5429
237600.0	19086.5429
247200.0	19086.5429
256800.0	19086.5429
264000.0	19086.5429
265800.0	19086.5429
133800.0	19086.5429
143400.0	19086.5429
153000.0	19086.5429
162600.0	19086.5429
172200.0	19086.5429
181800.0	19086.5429
191400.0	19086.5429
201000.0	19086.5429
210600.0	19086.5429
220200.0	19086.5429
229800.0	19086.5429
239400.0	19086.5429
249000.0	19086.5429
258600.0	19086.5429
267600.0	19086.5429
69000.0	9650.2634
269400.0	19086.5429
73800.0	13773.0187
78600.0	17097.1426
83400.0	19086.5429
88200.0	19086.5429
93000.0	19086.5429
97800.0	19086.5429
102600.0	19086.5429
107400.0	19086.5429
112200.0	19086.5429
117000.0	19086.5429
121800.0	19086.5429
126600.0	19086.5429
135600.0	19086.5429
145200.0	19086.5429
600.0	NaN
154800.0	19086.5429
164400.0	19086.5429
174000.0	19086.5429
183600.0	19086.5429
193200.0	19086.5429
202800.0	19086.5429
212400.0	19086.5429
222000.0	19086.5429
231600.0	19086.5429
241200.0	19086.5429
250800.0	19086.5429
260400.0	19086.5429
271200.0	19086.5429
1200.0	NaN
1800.0	NaN
2400.0	NaN
3000.0	NaN
3600.0	NaN
4200.0	NaN
273000.0	19086.5429
4800.0	NaN
5400.0	NaN
6000.0	NaN
6600.0	NaN
7200.0	NaN
7800.0	NaN
8400.0	NaN
137400.0	19086.5429
9000.0	NaN
147000.0	19086.5429
9600.0	NaN
10200.0	NaN
156600.0	19086.5429
166200.0	19086.5429
10800.0	NaN
175800.0	19086.5429
11400.0	NaN
185400.0	19086.5429
12000.0	NaN
195000.0	19086.5429
12600.0	NaN
204600.0	19086.5429
13200.0	NaN
13800.0	NaN
214200.0	19086.5429
223800.0	19086.5429
14400.0	NaN
233400.0	19086.5429
15000.0	NaN
243000.0	19086.5429
15600.0	NaN
252600.0	19086.5429
16200.0	NaN
16800.0	NaN
274800.0	19086.5429
18000.0	NaN
19200.0	NaN
20400.0	NaN
21600.0	11322.7000
22800.0	10180.5500
24000.0	10240.6889
25200.0	9851.3075
26400.0	9650.2634
27600.0	9650.2634
28800.0	9650.2634
30000.0	9650.2634
31200.0	9650.2634
32400.0	9650.2634
33600.0	9650.2634
36000.0	9650.2634
38400.0	9650.2634
40800.0	9650.2634
43200.0	9650.2634
45600.0	9650.2634
48000.0	9650.2634
50400.0	9650.2634
52800.0	9650.2634
55200.0	9650.2634
57600.0	9650.2634
60000.0	9650.2634
62400.0	9650.2634
64800.0	9650.2634
67200.0	9650.2634
72000.0	9650.2634
76800.0	16627.0365
81600.0	19086.5429
86400.0	19086.5429
91200.0	19086.5429
96000.0	19086.5429
100800.0	19086.5429
105600.0	19086.5429
110400.0	19086.5429
115200.0	19086.5429
120000.0	19086.5429
124800.0	19086.5429
129600.0	19086.5429
134400.0	19086.5429
144000.0	19086.5429
153600.0	19086.5429
163200.0	19086.5429
172800.0	19086.5429
182400.0	19086.5429
192000.0	19086.5429
201600.0	19086.5429
211200.0	19086.5429
220800.0	19086.5429
230400.0	19086.5429
240000.0	19086.5429
249600.0	19086.5429
259200.0	19086.5429
268800.0	19086.5429
270600.0	19086.5429
136200.0	19086.5429
145800.0	19086.5429
155400.0	19086.5429
165000.0	19086.5429
174600.0	19086.5429
184200.0	19086.5429
193800.0	19086.5429
203400.0	19086.5429
213000.0	19086.5429
222600.0	19086.5429
232200.0	19086.5429
241800.0	19086.5429
251400.0	19086.5429
261000.0	19086.5429
272400.0	19086.5429
67800.0	9650.2634
274200.0	19086.5429
72600.0	9650.2634
77400.0	17097.1426
82200.0	19086.5429
87000.0	19086.5429
91800.0	19086.5429
96600.0	19086.5429
101400.0	19086.5429
106200.0	19086.5429
111000.0	19086.5429
115800.0	19086.5429
120600.0	19086.5429
125400.0	19086.5429
130200.0	19086.5429
138000.0	19086.5429
147600.0	19086.5429
157200.0	19086.5429
166800.0	19086.5429
