Time	LatencyAverage
132000.0	19600.5935
141600.0	19600.5935
151200.0	19600.5935
160800.0	19600.5935
170400.0	19600.5935
180000.0	19600.5935
189600.0	19600.5935
199200.0	19600.5935
208800.0	19600.5935
218400.0	19600.5935
228000.0	19600.5935
237600.0	19600.5935
247200.0	19600.5935
256800.0	19600.5935
264000.0	19600.5935
265800.0	19600.5935
133800.0	19600.5935
143400.0	19600.5935
153000.0	19600.5935
162600.0	19600.5935
172200.0	19600.5935
181800.0	19600.5935
191400.0	19600.5935
201000.0	19600.5935
210600.0	19600.5935
220200.0	19600.5935
229800.0	19600.5935
239400.0	19600.5935
249000.0	19600.5935
258600.0	19600.5935
267600.0	19600.5935
69000.0	10254.6000
269400.0	19600.5935
73800.0	14655.1774
78600.0	16949.0119
83400.0	19600.5935
88200.0	19600.5935
93000.0	19600.5935
97800.0	19600.5935
102600.0	19600.5935
107400.0	19600.5935
112200.0	19600.5935
117000.0	19600.5935
121800.0	19600.5935
126600.0	19600.5935
135600.0	19600.5935
145200.0	19600.5935
600.0	NaN
154800.0	19600.5935
164400.0	19600.5935
174000.0	19600.5935
183600.0	19600.5935
193200.0	19600.5935
202800.0	19600.5935
212400.0	19600.5935
222000.0	19600.5935
231600.0	19600.5935
241200.0	19600.5935
250800.0	19600.5935
260400.0	19600.5935
271200.0	19600.5935
1200.0	NaN
1800.0	NaN
2400.0	NaN
3000.0	NaN
3600.0	NaN
4200.0	NaN
273000.0	19600.5935
4800.0	NaN
5400.0	NaN
6000.0	NaN
6600.0	NaN
7200.0	NaN
7800.0	NaN
8400.0	NaN
137400.0	19600.5935
9000.0	NaN
147000.0	19600.5935
9600.0	NaN
10200.0	NaN
156600.0	19600.5935
166200.0	19600.5935
10800.0	NaN
175800.0	19600.5935
11400.0	NaN
185400.0	19600.5935
12000.0	NaN
195000.0	19600.5935
12600.0	NaN
204600.0	19600.5935
13200.0	NaN
13800.0	NaN
214200.0	19600.5935
223800.0	19600.5935
14400.0	NaN
233400.0	19600.5935
15000.0	NaN
243000.0	19600.5935
15600.0	NaN
252600.0	19600.5935
16200.0	NaN
16800.0	NaN
274800.0	19600.5935
18000.0	NaN
19200.0	NaN
20400.0	NaN
21600.0	11322.7000
22800.0	10180.5500
24000.0	10241.6361
25200.0	10640.1070
26400.0	10413.7023
27600.0	10413.7023
28800.0	10413.7023
30000.0	10413.7023
31200.0	10413.7023
32400.0	10413.7023
33600.0	10413.7023
36000.0	10413.7023
38400.0	10413.7023
40800.0	10413.7023
43200.0	10413.7023
45600.0	10413.7023
48000.0	10413.7023
50400.0	10413.7023
52800.0	10413.7023
55200.0	10413.7023
57600.0	10413.7023
60000.0	10413.7023
62400.0	10413.7023
64800.0	10254.6000
67200.0	10254.6000
72000.0	10254.6000
76800.0	16100.0414
81600.0	18605.2803
86400.0	19600.5935
91200.0	19600.5935
96000.0	19600.5935
100800.0	19600.5935
105600.0	19600.5935
110400.0	19600.5935
115200.0	19600.5935
120000.0	19600.5935
124800.0	19600.5935
129600.0	19600.5935
134400.0	19600.5935
144000.0	19600.5935
153600.0	19600.5935
163200.0	19600.5935
172800.0	19600.5935
182400.0	19600.5935
192000.0	19600.5935
201600.0	19600.5935
211200.0	19600.5935
220800.0	19600.5935
230400.0	19600.5935
240000.0	19600.5935
249600.0	19600.5935
259200.0	19600.5935
268800.0	19600.5935
270600.0	19600.5935
136200.0	19600.5935
145800.0	19600.5935
155400.0	19600.5935
165000.0	19600.5935
174600.0	19600.5935
184200.0	19600.5935
193800.0	19600.5935
203400.0	19600.5935
213000.0	19600.5935
222600.0	19600.5935
232200.0	19600.5935
241800.0	19600.5935
251400.0	19600.5935
261000.0	19600.5935
272400.0	19600.5935
67800.0	10254.6000
274200.0	19600.5935
72600.0	10254.6000
77400.0	16949.0119
82200.0	19600.5935
87000.0	19600.5935
91800.0	19600.5935
96600.0	19600.5935
101400.0	19600.5935
106200.0	19600.5935
111000.0	19600.5935
115800.0	19600.5935
120600.0	19600.5935
125400.0	19600.5935
130200.0	19600.5935
138000.0	19600.5935
147600.0	19600.5935
157200.0	19600.5935
166800.0	19600.5935
176400.0	19600.5935
186000.0	19600.5935
195600.0	19600.5935
205200.0	19600.5935
214800.0	19600.5935
224400.0	19600.5935
234000.0	19600.5935
243600.0	19600.5935
253200.0	19600.5935
139800.0	19600.5935
149400.0	19600.5935
159000.0	19600.5935
168600.0	19600.5935
178200.0	19600.5935
187800.0	19600.5935
197400.0	19600.5935
207000.0	19600.5935
216600.0	19600.5935
226200.0	19600.5935
235800.0	19600.5935
245400.0	19600.5935
255000.0	19600.5935
33000.0	10413.7023
35400.0	10413.7023
37800.0	10413.7023
40200.0	10413.7023
42600.0	10413.7023
45000.0	10413.7023
47400.0	10413.7023
49800.0	10413.7023
52200.0	10413.7023
54600.0	10413.7023
57000.0	10413.7023
59400.0	10413.7023
61800.0	10413.7023
64200.0	10254.6000
66000.0	10254.6000
262200.0	19600.5935
70800.0	10254.6000
75600.0	15427.0236
80400.0	18605.2803
85200.0	19600.5935
90000.0	19600.5935
94800.0	19600.5935
99600.0	19600.5935
104400.0	19600.5935
109200.0	19600.5935
114000.0	19600.5935
118800.0	19600.5935
123600.0	19600.5935
128400.0	19600.5935
136800.0	19600.5935
146400.0	19600.5935
156000.0	19600.5935
165600.0	19600.5935
175200.0	19600.5935
184800.0	19600.5935
194400.0	19600.5935
204000.0	19600.5935
213600.0	19600.5935
223200.0	19600.5935
232800.0	19600.5935
242400.0	19600.5935
252000.0	19600.5935
261600.0	19600.5935
273600.0	19600.5935
138600.0	19600.5935
148200.0	19600.5935
157800.0	19600.5935
167400.0	19600.5935
177000.0	19600.5935
186600.0	19600.5935
196200.0	19600.5935
205800.0	19600.5935
215400.0	19600.5935
225000.0	19600.5935
234600.0	19600.5935
244200.0	19600.5935
253800.0	19600.5935
66600.0	10254.6000
71400.0	10254.6000
76200.0	16100.0414
81000.0	18605.2803
85800.0	19600.5935
90600.0	19600.5935
95400.0	19600.5935
100200.0	19600.5935
105000.0	19600.5935
109800.0	19600.5935
114600.0	19600.5935
119400.0	19600.5935
124200.0	19600.5935
129000.0	19600.5935
140400.0	19600.5935
150000.0	19600.5935
159600.0	19600.5935
169200.0	19600.5935
178800.0	19600.5935
188400.0	19600.5935
198000.0	19600.5935
207600.0	19600.5935
217200.0	19600.5935
226800.0	19600.5935
236400.0	19600.5935
246000.0	19600.5935
255600.0	19600.5935
263400.0	19600.5935
132600.0	19600.5935
142200.0	19600.5935
151800.0	19600.5935
161400.0	19600.5935
171000.0	19600.5935
180600.0	19600.5935
190200.0	19600.5935
199800.0	19600.5935
209400.0	19600.5935
219000.0	19600.5935
228600.0	19600.5935
238200.0	19600.5935
247800.0	19600.5935
257400.0	19600.5935
17400.0	NaN
