Time	LatencyAverage
132000.0	19137.1296
141600.0	19137.1296
151200.0	19137.1296
160800.0	19137.1296
170400.0	19137.1296
180000.0	19137.1296
189600.0	19137.1296
199200.0	19137.1296
208800.0	19137.1296
218400.0	19137.1296
228000.0	19137.1296
237600.0	19137.1296
247200.0	19137.1296
256800.0	19137.1296
264000.0	19137.1296
265800.0	19137.1296
133800.0	19137.1296
143400.0	19137.1296
153000.0	19137.1296
162600.0	19137.1296
172200.0	19137.1296
181800.0	19137.1296
191400.0	19137.1296
201000.0	19137.1296
210600.0	19137.1296
220200.0	19137.1296
229800.0	19137.1296
239400.0	19137.1296
249000.0	19137.1296
258600.0	19137.1296
267600.0	19137.1296
69000.0	10154.8755
269400.0	19137.1296
73800.0	12086.9151
78600.0	18554.6044
83400.0	18832.5812
88200.0	18832.5812
93000.0	18607.3357
97800.0	19137.1296
102600.0	19137.1296
107400.0	19137.1296
112200.0	19137.1296
117000.0	19137.1296
121800.0	19137.1296
126600.0	19137.1296
135600.0	19137.1296
145200.0	19137.1296
600.0	NaN
154800.0	19137.1296
164400.0	19137.1296
174000.0	19137.1296
183600.0	19137.1296
193200.0	19137.1296
202800.0	19137.1296
212400.0	19137.1296
222000.0	19137.1296
231600.0	19137.1296
241200.0	19137.1296
250800.0	19137.1296
260400.0	19137.1296
271200.0	19137.1296
1200.0	NaN
1800.0	NaN
2400.0	NaN
3000.0	NaN
3600.0	NaN
4200.0	NaN
273000.0	19137.1296
4800.0	NaN
5400.0	NaN
6000.0	NaN
6600.0	NaN
7200.0	NaN
7800.0	NaN
8400.0	NaN
137400.0	19137.1296
9000.0	NaN
147000.0	19137.1296
9600.0	NaN
10200.0	NaN
156600.0	19137.1296
166200.0	19137.1296
10800.0	NaN
175800.0	19137.1296
11400.0	NaN
185400.0	19137.1296
12000.0	NaN
195000.0	19137.1296
12600.0	NaN
204600.0	19137.1296
13200.0	NaN
13800.0	NaN
214200.0	19137.1296
223800.0	19137.1296
14400.0	NaN
233400.0	19137.1296
15000.0	NaN
243000.0	19137.1296
15600.0	NaN
252600.0	19137.1296
16200.0	NaN
16800.0	NaN
274800.0	19137.1296
18000.0	NaN
19200.0	NaN
20400.0	NaN
21600.0	11322.7000
22800.0	10180.5500
24000.0	10244.8417
25200.0	10015.6457
26400.0	9817.4532
