Time	LatencyAverage
132000.0	20425.2172
141600.0	20425.2172
151200.0	20425.2172
160800.0	20425.2172
170400.0	20425.2172
180000.0	20425.2172
189600.0	20425.2172
199200.0	20425.2172
208800.0	20425.2172
218400.0	20425.2172
228000.0	20425.2172
237600.0	20425.2172
247200.0	20425.2172
256800.0	20425.2172
264000.0	20425.2172
265800.0	20425.2172
133800.0	20425.2172
143400.0	20425.2172
153000.0	20425.2172
162600.0	20425.2172
172200.0	20425.2172
181800.0	20425.2172
191400.0	20425.2172
201000.0	20425.2172
210600.0	20425.2172
220200.0	20425.2172
229800.0	20425.2172
239400.0	20425.2172
249000.0	20425.2172
258600.0	20425.2172
267600.0	20425.2172
69000.0	9889.9475
269400.0	20425.2172
73800.0	11825.9444
78600.0	18379.1821
83400.0	20425.2172
88200.0	20425.2172
93000.0	20425.2172
97800.0	20425.2172
102600.0	20425.2172
107400.0	20425.2172
112200.0	20425.2172
117000.0	20425.2172
121800.0	20425.2172
126600.0	20425.2172
135600.0	20425.2172
145200.0	20425.2172
600.0	NaN
154800.0	20425.2172
164400.0	20425.2172
174000.0	20425.2172
183600.0	20425.2172
193200.0	20425.2172
202800.0	20425.2172
212400.0	20425.2172
222000.0	20425.2172
231600.0	20425.2172
241200.0	20425.2172
250800.0	20425.2172
260400.0	20425.2172
271200.0	20425.2172
1200.0	NaN
1800.0	NaN
2400.0	NaN
3000.0	NaN
3600.0	NaN
4200.0	NaN
273000.0	20425.2172
4800.0	NaN
5400.0	NaN
6000.0	NaN
6600.0	NaN
7200.0	NaN
7800.0	NaN
8400.0	NaN
137400.0	20425.2172
9000.0	NaN
147000.0	20425.2172
9600.0	NaN
10200.0	NaN
156600.0	20425.2172
166200.0	20425.2172
10800.0	NaN
175800.0	20425.2172
11400.0	NaN
185400.0	20425.2172
12000.0	NaN
195000.0	20425.2172
12600.0	NaN
204600.0	20425.2172
13200.0	NaN
13800.0	NaN
214200.0	20425.2172
223800.0	20425.2172
14400.0	NaN
233400.0	20425.2172
15000.0	NaN
243000.0	20425.2172
15600.0	NaN
252600.0	20425.2172
16200.0	NaN
16800.0	NaN
274800.0	20425.2172
18000.0	NaN
19200.0	NaN
20400.0	NaN
21600.0	11322.7000
22800.0	10180.5500
24000.0	10351.6000
25200.0	10030.3026
26400.0	9889.9475
27600.0	9889.9475
28800.0	9889.9475
30000.0	9889.9475
31200.0	9889.9475
32400.0	9889.9475
33600.0	9889.9475
36000.0	9889.9475
38400.0	9889.9475
40800.0	9889.9475
43200.0	9889.9475
45600.0	9889.9475
48000.0	9889.9475
50400.0	9889.9475
52800.0	9889.9475
55200.0	9889.9475
57600.0	9889.9475
60000.0	9889.9475
62400.0	9889.9475
64800.0	9889.9475
67200.0	9889.9475
72000.0	9889.9475
76800.0	17973.9704
81600.0	20425.2172
86400.0	20425.2172
91200.0	20425.2172
96000.0	20425.2172
100800.0	20425.2172
105600.0	20425.2172
110400.0	20425.2172
115200.0	20425.2172
120000.0	20425.2172
124800.0	20425.2172
129600.0	20425.2172
134400.0	20425.2172
144000.0	20425.2172
153600.0	20425.2172
163200.0	20425.2172
172800.0	20425.2172
182400.0	20425.2172
192000.0	20425.2172
201600.0	20425.2172
211200.0	20425.2172
220800.0	20425.2172
230400.0	20425.2172
240000.0	20425.2172
249600.0	20425.2172
259200.0	20425.2172
268800.0	20425.2172
270600.0	20425.2172
136200.0	20425.2172
145800.0	20425.2172
155400.0	20425.2172
165000.0	20425.2172
174600.0	20425.2172
184200.0	20425.2172
193800.0	20425.2172
203400.0	20425.2172
213000.0	20425.2172
222600.0	20425.2172
232200.0	20425.2172
241800.0	20425.2172
251400.0	20425.2172
261000.0	20425.2172
272400.0	20425.2172
67800.0	9889.9475
274200.0	20425.2172
72600.0	9889.9475
77400.0	18379.1821
82200.0	20425.2172
87000.0	20425.2172
91800.0	20425.2172
96600.0	20425.2172
101400.0	20425.2172
106200.0	20425.2172
111000.0	20425.2172
115800.0	20425.2172
120600.0	20425.2172
125400.0	20425.2172
130200.0	20425.2172
138000.0	20425.2172
147600.0	20425.2172
157200.0	20425.2172
166800.0	20425.2172
176400.0	20425.2172
186000.0	20425.2172
195600.0	20425.2172
205200.0	20425.2172
214800.0	20425.2172
224400.0	20425.2172
234000.0	20425.2172
243600.0	20425.2172
253200.0	20425.2172
139800.0	20425.2172
149400.0	20425.2172
159000.0	20425.2172
168600.0	20425.2172
178200.0	20425.2172
187800.0	20425.2172
197400.0	20425.2172
207000.0	20425.2172
216600.0	20425.2172
226200.0	20425.2172
235800.0	20425.2172
245400.0	20425.2172
255000.0	20425.2172
33000.0	9889.9475
35400.0	9889.9475
37800.0	9889.9475
40200.0	9889.9475
42600.0	9889.9475
45000.0	9889.9475
47400.0	9889.9475
49800.0	9889.9475
52200.0	9889.9475
