Time	LatencyAverage
132000.0	486.7681
141600.0	486.7681
151200.0	486.7681
160800.0	486.7681
170400.0	486.7681
180000.0	486.7681
189600.0	486.7681
199200.0	486.7681
208800.0	486.7681
218400.0	486.7681
228000.0	486.7681
237600.0	486.7681
247200.0	486.7681
256800.0	486.7681
264000.0	486.7681
265800.0	486.7681
133800.0	486.7681
143400.0	486.7681
153000.0	486.7681
162600.0	486.7681
172200.0	486.7681
181800.0	486.7681
191400.0	486.7681
201000.0	486.7681
210600.0	486.7681
220200.0	486.7681
229800.0	486.7681
239400.0	486.7681
249000.0	486.7681
258600.0	486.7681
267600.0	486.7681
69000.0	486.7681
269400.0	486.7681
73800.0	486.7681
78600.0	486.7681
83400.0	486.7681
88200.0	486.7681
93000.0	486.7681
97800.0	486.7681
102600.0	486.7681
107400.0	486.7681
112200.0	486.7681
117000.0	486.7681
121800.0	486.7681
126600.0	486.7681
135600.0	486.7681
145200.0	486.7681
600.0	197.4000
154800.0	486.7681
164400.0	486.7681
174000.0	486.7681
183600.0	486.7681
193200.0	486.7681
202800.0	486.7681
212400.0	486.7681
222000.0	486.7681
231600.0	486.7681
241200.0	486.7681
250800.0	486.7681
260400.0	486.7681
271200.0	486.7681
1200.0	93.9667
1800.0	145.1000
2400.0	140.8833
3000.0	154.7667
3600.0	156.1000
4200.0	179.9333
273000.0	486.7681
4800.0	172.3929
5400.0	170.9000
6000.0	189.4647
6600.0	183.9474
7200.0	169.5909
7800.0	173.4609
8400.0	167.4520
137400.0	486.7681
9000.0	166.2593
147000.0	486.7681
9600.0	164.2138
10200.0	161.1267
156600.0	486.7681
166200.0	486.7681
10800.0	159.4031
175800.0	486.7681
11400.0	158.8029
185400.0	486.7681
12000.0	164.5917
195000.0	486.7681
12600.0	161.1000
204600.0	486.7681
13200.0	163.2872
13800.0	171.6610
214200.0	486.7681
223800.0	486.7681
14400.0	171.8857
233400.0	486.7681
15000.0	186.8279
243000.0	486.7681
15600.0	220.9152
252600.0	486.7681
16200.0	230.3958
16800.0	234.1061
274800.0	486.7681
18000.0	262.6154
19200.0	293.0019
20400.0	320.3089
21600.0	351.1883
22800.0	401.8092
24000.0	419.4864
25200.0	440.5552
26400.0	486.7681
27600.0	486.7681
28800.0	486.7681
30000.0	486.7681
31200.0	486.7681
32400.0	486.7681
33600.0	486.7681
36000.0	486.7681
38400.0	486.7681
40800.0	486.7681
43200.0	486.7681
45600.0	486.7681
48000.0	486.7681
50400.0	486.7681
52800.0	486.7681
55200.0	486.7681
57600.0	486.7681
60000.0	486.7681
62400.0	486.7681
64800.0	486.7681
67200.0	486.7681
72000.0	486.7681
76800.0	486.7681
81600.0	486.7681
86400.0	486.7681
91200.0	486.7681
96000.0	486.7681
100800.0	486.7681
105600.0	486.7681
110400.0	486.7681
115200.0	486.7681
120000.0	486.7681
124800.0	486.7681
129600.0	486.7681
134400.0	486.7681
144000.0	486.7681
153600.0	486.7681
163200.0	486.7681
172800.0	486.7681
182400.0	486.7681
192000.0	486.7681
201600.0	486.7681
211200.0	486.7681
220800.0	486.7681
230400.0	486.7681
240000.0	486.7681
249600.0	486.7681
259200.0	486.7681
268800.0	486.7681
270600.0	486.7681
136200.0	486.7681
145800.0	486.7681
155400.0	486.7681
165000.0	486.7681
174600.0	486.7681
184200.0	486.7681
193800.0	486.7681
203400.0	486.7681
213000.0	486.7681
222600.0	486.7681
232200.0	486.7681
241800.0	486.7681
251400.0	486.7681
261000.0	486.7681
272400.0	486.7681
67800.0	486.7681
274200.0	486.7681
72600.0	486.7681
77400.0	486.7681
82200.0	486.7681
87000.0	486.7681
91800.0	486.7681
96600.0	486.7681
101400.0	486.7681
106200.0	486.7681
111000.0	486.7681
115800.0	486.7681
120600.0	486.7681
125400.0	486.7681
130200.0	486.7681
138000.0	486.7681
147600.0	486.7681
157200.0	486.7681
166800.0	486.7681
176400.0	486.7681
186000.0	486.7681
195600.0	486.7681
205200.0	486.7681
214800.0	486.7681
224400.0	486.7681
234000.0	486.7681
243600.0	486.7681
253200.0	486.7681
139800.0	486.7681
149400.0	486.7681
159000.0	486.7681
168600.0	486.7681
178200.0	486.7681
187800.0	486.7681
197400.0	486.7681
207000.0	486.7681
216600.0	486.7681
226200.0	486.7681
235800.0	486.7681
245400.0	486.7681
255000.0	486.7681
33000.0	486.7681
35400.0	486.7681
37800.0	486.7681
40200.0	486.7681
42600.0	486.7681
45000.0	486.7681
