# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
20966.9000 M48 605393 1 5281.9000 p8 p23 1351 N p8->p23
21299.0000 M39 822125 4 8528.0000 p28 p35 1297 N p28->p31->p37->p24->p35
21304.8000 M50 675185 1 4986.8000 p26 p18 1356 N p26->p18
21305.2000 M52 641881 3 4353.2000 p16 p39 1367 N p16->p26->p24->p39
21307.3000 M27 622078 7 12543.3000 p17 p18 1230 N p17->p6->p28->p31->p37->p24->p26->p18
21308.9000 M57 905197 2 2705.9000 p26 p39 1394 N p26->p24->p39
21400.1000 M1 618834 5 21073.1000 p34 p38 1088 N p34->p31->p37->p24->p26->p38
21432.3000 M26 600773 1 12982.3000 p0 p39 1223 N p0->p39
21435.9000 M19 884570 4 15276.9000 p16 p0 1185 N p16->p26->p24->p39->p0
21454.7000 M44 663117 1 7070.7000 p7 p34 1322 N p7->p34
21476.7000 M20 885202 4 14997.7000 p31 p23 1190 N p31->p34->p21->p9->p23
21502.4000 M24 665997 4 13744.4000 p26 p9 1210 N p26->p24->p7->p34->p9
21523.1000 M6 661032 2 19633.1000 p3 p35 1112 N p3->p24->p35
21561.3000 M21 707936 3 14737.3000 p13 p21 1194 N p13->p36->p9->p21
21563.1000 M56 618175 3 3308.1000 p38 p37 1384 N p38->p26->p24->p37
21563.2000 M61 640531 3 1620.2000 p9 p39 1412 N p9->p21->p0->p39
21604.8000 M49 631448 3 5599.8000 p39 p27 1346 N p39->p24->p26->p27
21605.0000 M8 913877 5 19012.0000 p27 p13 1123 N p27->p26->p24->p37->p36->p13
21631.2000 M33 936576 5 10875.2000 p15 p21 1258 N p15->p35->p24->p37->p34->p21
21659.5000 M12 854239 3 17814.5000 p7 p6 1143 N p7->p34->p21->p6
21673.6000 M63 895682 2 1078.6000 p10 p9 1422 N p10->p28->p9
21691.9000 M17 848700 3 16205.9000 p33 p37 1169 N p33->p39->p40->p37
21750.6000 M60 686270 7 2107.6000 p9 p38 1404 N p9->p21->p0->p39->p40->p6->p18->p38
21753.3000 M28 672749 4 12636.3000 p39 p10 1229 N p39->p40->p6->p18->p10
21757.3000 M41 996688 6 8339.3000 p21 p38 1301 N p21->p0->p39->p40->p6->p18->p38
21780.6000 M37 817114 4 9657.6000 p36 p18 1279 N p36->p37->p34->p21->p18
21812.9000 M11 562047 4 18287.9000 p0 p13 1135 N p0->p39->p33->p0->p13
21813.0000 M22 684104 4 14677.0000 p13 p10 1195 N p13->p36->p37->p34->p10
21816.4000 M51 837117 4 5178.4000 p13 p10 1353 N p13->p36->p37->p34->p10
21818.5000 M58 522635 3 2878.5000 p36 p10 1392 N p36->p37->p34->p10
21938.9000 M42 713417 3 8172.9000 p36 p25 1303 N p36->p37->p24->p25
21942.5000 M30 896607 2 12161.5000 p3 p25 1237 N p3->p24->p25
22013.9000 M67 922010 1 118.9000 p29 p39 1438 N p29->p39
22166.2000 M54 560634 2 4590.2000 p29 p24 1363 N p29->p39->p24
22298.3000 M16 527969 2 17114.3000 p29 p16 1154 N p29->p39->p16
22967.6000 M43 625067 6 8889.6000 p19 p31 1291 N p19->p32->p6->p18->p26->p27->p31
22997.6000 M65 628836 5 1756.6000 p2 p7 1410 N p2->p4->p21->p40->p35->p7
23707.1000 M18 508959 5 17871.1000 p35 p22 1142 N p35->p24->p40->p29->p6->p22
23808.9000 M13 774311 14 19652.9000 p8 p27 1112 N p8->p23->p13->p36->p37->p24->p40->p13->p28->p17->p18->p9->p35->p20->p27
23913.1000 M66 762094 8 2368.1000 p37 p31 1400 N p37->p24->p40->p28->p17->p36->p17->p18->p31
24522.0000 M68 649807 2 2325.0000 p22 p33 1401 N p22->p40->p33
24751.9000 M3 968122 10 23802.9000 p33 p11 1043 N p33->p39->p0->p33->p16->p25->p33->p25->p40->p6->p11
24754.0000 M4 523257 12 23502.0000 p9 p11 1048 N p9->p34->p21->p6->p7->p9->p3->p10->p20->p6->p18->p6->p11
24889.9000 M46 702628 12 9871.9000 p39 p11 1275 N p39->p40->p6->p32->p35->p16->p25->p33->p25->p40->p33->p8->p11
24893.4000 M25 864342 12 16786.4000 p26 p11 1160 N p26->p24->p40->p29->p37->p29->p35->p21->p25->p40->p33->p8->p11
24931.8000 M76 511671 2 27.8000 p17 p3 1439 N p17->p35->p3
24948.1000 M70 766484 11 2055.1000 p4 p19 1405 N p4->p0->p18->p29->p33->p3->p29->p10->p29->p20->p36->p19
48448.0000 M34 726913 17 37342.0000 p36 p12 817 N p36->p37->p34->p10->p18->p0->p34->p19->p38->p29->p33->p25->p40->p33->p8->p11->p8->p12
72768.0000 M188 984866 1 10823.0000 p28 p25 1259 N p28->p25
72789.2000 M53 784336 16 55520.2000 p6 p5 514 N p6->p28->p31->p37->p24->p39->p0->p33->p16->p34->p19->p28->p23->p28->p0->p28->p5
72792.2000 M175 745444 1 15147.2000 p28 p5 1187 N p28->p5
72933.4000 M69 580609 10 50377.4000 p3 p14 600 N p3->p10->p20->p24->p18->p16->p15->p10->p34->p16->p14
72936.4000 M62 745934 20 52649.4000 p8 p14 562 N p8->p23->p13->p36->p37->p24->p40->p13->p28->p36->p13->p24->p9->p35->p20->p9->p15->p16->p34->p16->p14
72979.1000 M38 542038 6 60520.1000 p10 p5 431 N p10->p3->p27->p10->p34->p16->p5
73509.8000 M137 939621 2 28471.8000 p8 p4 965 N p8->p12->p4
73564.3000 M142 731013 1 26841.3000 p4 p8 992 N p4->p8
73564.4000 M202 768233 2 6952.4000 p8 p16 1324 N p8->p12->p16
73668.2000 M14 530271 5 69161.2000 p11 p14 287 N p11->p8->p12->p8->p12->p14
74450.0000 M35 529000 8 62993.0000 p11 p32 390 N p11->p8->p12->p8->p12->p16->p4->p26->p32
74502.3000 M197 572874 2 9556.3000 p26 p14 1280 N p26->p5->p14
74746.6000 M108 785889 3 39246.6000 p27 p19 785 N p27->p26->p32->p19
74959.0000 M177 988860 9 16653.0000 p8 p18 1162 N p8->p12->p23->p4->p26->p5->p14->p5->p28->p18
74961.2000 M220 534703 5 2355.2000 p26 p18 1400 N p26->p5->p14->p5->p28->p18
75283.7000 M111 517153 2 38803.7000 p18 p22 793 N p18->p12->p22
75597.8000 M223 678819 2 2037.8000 p18 p13 1406 N p18->p14->p13
77248.5000 M5 874671 17 75659.5000 p34 p1 179 N p34->p31->p37->p24->p3->p24->p40->p29->p6->p29->p35->p20->p6->p18->p12->p18->p28->p1
77266.1000 M134 787682 16 33194.1000 p16 p2 886 N p16->p5->p23->p4->p12->p5->p14->p5->p32->p5->p14->p13->p14->p32->p14->p32->p2
77456.6000 M40 889457 16 64344.6000 p24 p1 367 N p24->p37->p24->p40->p29->p35->p21->p25->p40->p6->p18->p12->p22->p14->p13->p14->p1
89050.1000 M247 510867 2 7463.1000 p1 p15 1315 N p1->p13->p15
