# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
524.4000 M1 618834 2 197.4000 p34 p38 1436 N p34->p16->p38
718.6000 M2 977273 1 80.6000 p1 p30 1438 N p1->p30
952.9000 M3 968122 1 3.9000 p33 p11 1439 N p33->p11
1558.7000 M4 523257 5 306.7000 p9 p11 1434 N p9->p13->p38->p15->p34->p11
1725.9000 M5 874671 6 136.9000 p34 p1 1437 N p34->p38->p39->p18->p15->p36->p1
2009.8000 M6 661032 5 119.8000 p3 p35 1438 N p3->p36->p23->p10->p20->p35
2580.3000 M7 612010 2 342.3000 p1 p23 1434 N p1->p2->p23
2705.2000 M8 913877 2 112.2000 p27 p13 1438 N p27->p21->p13
2993.1000 M9 587686 4 93.1000 p1 p33 1438 N p1->p16->p39->p19->p33
3379.1000 M10 863541 4 168.1000 p20 p33 1437 N p20->p30->p3->p34->p33
3786.2000 M11 562047 2 261.2000 p0 p13 1435 N p0->p16->p13
4182.0000 M12 854239 6 337.0000 p7 p6 1434 N p7->p24->p18->p34->p16->p38->p6
4259.6000 M13 774311 4 103.6000 p8 p27 1438 N p8->p39->p33->p9->p27
4657.7000 M14 530271 3 150.7000 p11 p14 1437 N p11->p25->p33->p14
5009.0000 M15 754268 1 150.0000 p11 p37 1437 N p11->p37
5437.2000 M16 527969 3 253.2000 p29 p16 1435 N p29->p17->p26->p16
5890.2000 M17 848700 1 404.2000 p33 p37 1433 N p33->p37
6029.0000 M18 508959 3 193.0000 p35 p22 1436 N p35->p1->p12->p22
6240.1000 M19 884570 3 81.1000 p16 p0 1438 N p16->p18->p2->p0
6614.6000 M20 885202 2 135.6000 p31 p23 1437 N p31->p37->p23
6900.6000 M21 707936 6 76.6000 p13 p21 1438 N p13->p3->p40->p15->p18->p11->p21
7159.8000 M22 684104 1 23.8000 p13 p10 1439 N p13->p10
7694.6000 M23 964884 1 258.6000 p34 p30 1435 N p34->p30
7815.6000 M24 665997 2 57.6000 p26 p9 1439 N p26->p20->p9
8246.1000 M25 864342 1 139.1000 p26 p11 1437 N p26->p11
8526.2000 M26 600773 1 76.2000 p0 p39 1438 N p0->p39
8990.5000 M27 622078 3 226.5000 p17 p18 1436 N p17->p39->p7->p18
9267.4000 M28 672749 3 150.4000 p39 p10 1437 N p39->p13->p19->p10
9549.8000 M29 888064 2 122.8000 p5 p33 1437 N p5->p20->p33
9852.6000 M30 896607 2 71.6000 p3 p25 1438 N p3->p18->p25
10354.7000 M31 653097 4 244.7000 p25 p1 1435 N p25->p4->p6->p27->p1
10444.4000 M32 921516 1 22.4000 p18 p30 1439 N p18->p30
10851.1000 M33 936576 1 95.1000 p15 p21 1438 N p15->p21
11309.3000 M34 726913 4 203.3000 p36 p12 1436 N p36->p4->p20->p3->p12
11774.2000 M35 529000 2 317.2000 p11 p32 1434 N p11->p13->p32
11979.8000 M36 992517 3 208.8000 p11 p1 1436 N p11->p0->p8->p1
12274.1000 M37 817114 2 151.1000 p36 p18 1437 N p36->p0->p18
12504.4000 M38 542038 1 45.4000 p10 p5 1439 N p10->p5
13017.4000 M39 822125 4 246.4000 p28 p35 1435 N p28->p32->p21->p24->p35
13466.2000 M40 889457 4 354.2000 p24 p1 1434 N p24->p34->p13->p11->p1
13733.7000 M41 996688 1 315.7000 p21 p38 1434 N p21->p38
14259.1000 M43 625067 1 181.1000 p19 p31 1436 N p19->p31
14580.4000 M42 713417 3 814.4000 p36 p25 1426 N p36->p17->p36->p25
15138.9000 M44 663117 4 754.9000 p7 p34 1427 N p7->p40->p38->p14->p34
15530.2000 M46 702628 5 512.2000 p39 p11 1431 N p39->p4->p0->p14->p20->p11
15572.4000 M45 740228 3 861.4000 p30 p21 1425 N p30->p18->p4->p21
15814.4000 M47 940661 3 476.4000 p22 p16 1432 N p22->p21->p1->p16
16105.5000 M48 605393 3 420.5000 p8 p23 1432 N p8->p36->p30->p23
16417.2000 M49 631448 3 412.2000 p39 p27 1433 N p39->p34->p30->p27
17151.7000 M50 675185 2 833.7000 p26 p18 1426 N p26->p23->p18
17274.9000 M51 837117 3 636.9000 p13 p10 1429 N p13->p16->p27->p10
18236.4000 M52 641881 5 1284.4000 p16 p39 1418 N p16->p24->p10->p37->p25->p39
18488.2000 M53 784336 3 1219.2000 p6 p5 1419 N p6->p21->p15->p5
19088.7000 M55 942166 4 1175.7000 p20 p11 1420 N p20->p39->p10->p25->p11
19185.1000 M54 560634 6 1609.1000 p29 p24 1413 N p29->p22->p15->p19->p23->p28->p24
19552.1000 M58 522635 1 612.1000 p36 p10 1429 N p36->p10
19924.3000 M60 686270 4 281.3000 p9 p38 1435 N p9->p39->p24->p13->p38
20582.4000 M62 745934 4 295.4000 p8 p14 1435 N p8->p9->p40->p27->p14
20895.2000 M63 895682 1 300.2000 p10 p9 1434 N p10->p9
20914.3000 M61 640531 2 971.3000 p9 p39 1423 N p9->p11->p39
21114.4000 M64 679024 2 207.4000 p22 p30 1436 N p22->p7->p30
22002.2000 M66 762094 2 457.2000 p37 p31 1432 N p37->p23->p31
22096.5000 M65 628836 4 855.5000 p2 p7 1425 N p2->p16->p31->p38->p7
22281.3000 M67 922010 2 386.3000 p29 p39 1433 N p29->p36->p39
22733.0000 M68 649807 4 536.0000 p22 p33 1431 N p22->p36->p0->p21->p33
24278.3000 M69 580609 6 1722.3000 p3 p14 1411 N p3->p18->p8->p21->p29->p25->p14
24840.8000 M71 769870 8 1599.8000 p4 p13 1413 N p4->p2->p27->p22->p23->p11->p2->p1->p13
