Time	LatencyAverage
132000.0	394.8507
141600.0	394.8507
151200.0	394.8507
160800.0	394.8507
170400.0	394.8507
180000.0	394.8507
189600.0	394.8507
199200.0	394.8507
208800.0	394.8507
218400.0	394.8507
228000.0	394.8507
237600.0	394.8507
247200.0	394.8507
256800.0	394.8507
264000.0	394.8507
265800.0	394.8507
133800.0	394.8507
143400.0	394.8507
153000.0	394.8507
162600.0	394.8507
172200.0	394.8507
181800.0	394.8507
191400.0	394.8507
201000.0	394.8507
210600.0	394.8507
220200.0	394.8507
229800.0	394.8507
239400.0	394.8507
249000.0	394.8507
258600.0	394.8507
267600.0	394.8507
69000.0	394.8507
269400.0	394.8507
73800.0	394.8507
78600.0	394.8507
83400.0	394.8507
88200.0	394.8507
93000.0	394.8507
97800.0	394.8507
102600.0	394.8507
107400.0	394.8507
112200.0	394.8507
117000.0	394.8507
121800.0	394.8507
126600.0	394.8507
135600.0	394.8507
145200.0	394.8507
600.0	197.4000
154800.0	394.8507
164400.0	394.8507
174000.0	394.8507
183600.0	394.8507
193200.0	394.8507
202800.0	394.8507
212400.0	394.8507
222000.0	394.8507
231600.0	394.8507
241200.0	394.8507
250800.0	394.8507
260400.0	394.8507
271200.0	394.8507
1200.0	93.9667
1800.0	145.1000
2400.0	140.8833
3000.0	154.7667
3600.0	156.1000
4200.0	179.9333
273000.0	394.8507
4800.0	172.3929
5400.0	170.9000
6000.0	189.4647
6600.0	183.9474
7200.0	169.5909
7800.0	173.4609
8400.0	167.4520
137400.0	394.8507
9000.0	166.2593
147000.0	394.8507
9600.0	164.2138
10200.0	161.1267
156600.0	394.8507
166200.0	394.8507
10800.0	159.4031
175800.0	394.8507
11400.0	158.8029
185400.0	394.8507
12000.0	164.5917
195000.0	394.8507
12600.0	161.1000
204600.0	394.8507
13200.0	163.2872
13800.0	171.6610
214200.0	394.8507
223800.0	394.8507
14400.0	171.8857
233400.0	394.8507
15000.0	186.8279
243000.0	394.8507
15600.0	220.9152
252600.0	394.8507
16200.0	230.3958
16800.0	234.1061
274800.0	394.8507
18000.0	253.7608
19200.0	331.4582
20400.0	335.5018
21600.0	342.5885
22800.0	355.8908
24000.0	355.8908
25200.0	394.8507
26400.0	394.8507
27600.0	394.8507
28800.0	394.8507
30000.0	394.8507
31200.0	394.8507
32400.0	394.8507
33600.0	394.8507
36000.0	394.8507
38400.0	394.8507
40800.0	394.8507
43200.0	394.8507
45600.0	394.8507
48000.0	394.8507
50400.0	394.8507
52800.0	394.8507
55200.0	394.8507
57600.0	394.8507
60000.0	394.8507
62400.0	394.8507
64800.0	394.8507
67200.0	394.8507
72000.0	394.8507
76800.0	394.8507
81600.0	394.8507
86400.0	394.8507
91200.0	394.8507
96000.0	394.8507
100800.0	394.8507
105600.0	394.8507
110400.0	394.8507
115200.0	394.8507
120000.0	394.8507
124800.0	394.8507
129600.0	394.8507
134400.0	394.8507
144000.0	394.8507
153600.0	394.8507
163200.0	394.8507
172800.0	394.8507
182400.0	394.8507
192000.0	394.8507
201600.0	394.8507
211200.0	394.8507
220800.0	394.8507
230400.0	394.8507
240000.0	394.8507
249600.0	394.8507
259200.0	394.8507
268800.0	394.8507
270600.0	394.8507
136200.0	394.8507
145800.0	394.8507
155400.0	394.8507
165000.0	394.8507
174600.0	394.8507
184200.0	394.8507
193800.0	394.8507
203400.0	394.8507
213000.0	394.8507
222600.0	394.8507
232200.0	394.8507
241800.0	394.8507
251400.0	394.8507
261000.0	394.8507
272400.0	394.8507
67800.0	394.8507
274200.0	394.8507
72600.0	394.8507
77400.0	394.8507
82200.0	394.8507
87000.0	394.8507
91800.0	394.8507
96600.0	394.8507
101400.0	394.8507
106200.0	394.8507
111000.0	394.8507
115800.0	394.8507
120600.0	394.8507
125400.0	394.8507
130200.0	394.8507
138000.0	394.8507
147600.0	394.8507
157200.0	394.8507
166800.0	394.8507
176400.0	394.8507
186000.0	394.8507
195600.0	394.8507
205200.0	394.8507
214800.0	394.8507
224400.0	394.8507
234000.0	394.8507
243600.0	394.8507
253200.0	394.8507
139800.0	394.8507
149400.0	394.8507
159000.0	394.8507
168600.0	394.8507
178200.0	394.8507
187800.0	394.8507
197400.0	394.8507
207000.0	394.8507
216600.0	394.8507
226200.0	394.8507
235800.0	394.8507
245400.0	394.8507
255000.0	394.8507
33000.0	394.8507
35400.0	394.8507
37800.0	394.8507
40200.0	394.8507
42600.0	394.8507
45000.0	394.8507
47400.0	394.8507
49800.0	394.8507
52200.0	394.8507
54600.0	394.8507
57000.0	394.8507
59400.0	394.8507
61800.0	394.8507
64200.0	394.8507
66000.0	394.8507
262200.0	394.8507
70800.0	394.8507
75600.0	394.8507
80400.0	394.8507
85200.0	394.8507
90000.0	394.8507
94800.0	394.8507
99600.0	394.8507
104400.0	394.8507
109200.0	394.8507
114000.0	394.8507
118800.0	394.8507
123600.0	394.8507
128400.0	394.8507
136800.0	394.8507
146400.0	394.8507
156000.0	394.8507
165600.0	394.8507
175200.0	394.8507
184800.0	394.8507
194400.0	394.8507
204000.0	394.8507
213600.0	394.8507
223200.0	394.8507
232800.0	394.8507
242400.0	394.8507
252000.0	394.8507
261600.0	394.8507
273600.0	394.8507
138600.0	394.8507
148200.0	394.8507
157800.0	394.8507
167400.0	394.8507
177000.0	394.8507
186600.0	394.8507
196200.0	394.8507
205800.0	394.8507
215400.0	394.8507
225000.0	394.8507
234600.0	394.8507
244200.0	394.8507
253800.0	394.8507
66600.0	394.8507
71400.0	394.8507
76200.0	394.8507
81000.0	394.8507
85800.0	394.8507
90600.0	394.8507
95400.0	394.8507
100200.0	394.8507
105000.0	394.8507
109800.0	394.8507
114600.0	394.8507
119400.0	394.8507
124200.0	394.8507
129000.0	394.8507
140400.0	394.8507
150000.0	394.8507
159600.0	394.8507
169200.0	394.8507
178800.0	394.8507
188400.0	394.8507
198000.0	394.8507
207600.0	394.8507
217200.0	394.8507
226800.0	394.8507
236400.0	394.8507
246000.0	394.8507
255600.0	394.8507
263400.0	394.8507
132600.0	394.8507
142200.0	394.8507
151800.0	394.8507
161400.0	394.8507
171000.0	394.8507
180600.0	394.8507
190200.0	394.8507
199800.0	394.8507
209400.0	394.8507
219000.0	394.8507
228600.0	394.8507
238200.0	394.8507
247800.0	394.8507
257400.0	394.8507
17400.0	253.7608
265200.0	394.8507
18600.0	291.4226
19800.0	336.4696
21000.0	344.8417
22200.0	352.5492
23400.0	355.8908
24600.0	376.5939
25800.0	394.8507
27000.0	394.8507
28200.0	394.8507
29400.0	394.8507
30600.0	394.8507
31800.0	394.8507
34800.0	394.8507
37200.0	394.8507
39600.0	394.8507
42000.0	394.8507
44400.0	394.8507
46800.0	394.8507
49200.0	394.8507
51600.0	394.8507
54000.0	394.8507
56400.0	394.8507
58800.0	394.8507
61200.0	394.8507
63600.0	394.8507
69600.0	394.8507
267000.0	394.8507
74400.0	394.8507
79200.0	394.8507
84000.0	394.8507
88800.0	394.8507
93600.0	394.8507
98400.0	394.8507
103200.0	394.8507
108000.0	394.8507
112800.0	394.8507
117600.0	394.8507
122400.0	394.8507
127200.0	394.8507
